Building,Business,Entertainment,Medicine,Otdoor,Religion,Residence,Restaurant,School,Shopping,Snackbar,Sports,Traffic
196,0,0,0.4,0.4,0,0.1,0,0,0,0,0,0,0.1
197,0,0,0.454545,0.363636,0,0.0909091,0,0,0,0,0,0,0.0909091
198,0,0,0.555556,0.277778,0.0555556,0.0555556,0,0,0,0,0,0,0.0555556
199,0,0,0.5625,0.25,0.0625,0.0625,0,0,0,0,0,0,0.0625
200,0,0.05,0.55,0.25,0.05,0.05,0,0,0,0,0,0,0.05
201,0,0.0952381,0.571429,0.238095,0.047619,0,0,0,0,0,0,0,0.047619
202,0,0.166667,0.5,0.333333,0,0,0,0,0,0,0,0,0
203,0,0.111111,0.555556,0.333333,0,0,0,0,0,0,0,0,0
204,0,0.0714286,0.642857,0.178571,0.0357143,0,0,0,0,0,0,0,0.0714286
205,0.0526316,0.105263,0.473684,0.368421,0,0,0,0,0,0,0,0,0
206,0.0434783,0.0869565,0.478261,0.347826,0,0,0.0434783,0,0,0,0,0,0
207,0,0.05,0.55,0.25,0,0.05,0.05,0,0,0,0,0,0.05
208,0,0.0769231,0.461538,0.307692,0,0,0.0769231,0,0,0,0,0,0.0769231
209,0,0,0.666667,0.166667,0,0,0,0,0,0,0,0,0.166667
210,0.25,0,0.5,0.125,0,0,0,0,0,0,0,0,0.125
211,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0
212,0,0,1,0,0,0,0,0,0,0,0,0,0
213,0,0,1,0,0,0,0,0,0,0,0,0,0
214,0,0.0666667,0.533333,0.3,0.0333333,0.0333333,0,0,0,0,0,0,0.0333333
215,0,0,0.5,0.3125,0.0625,0.0625,0,0,0,0,0,0,0.0625
216,0,0,0.529412,0.294118,0.0588235,0.0588235,0,0,0,0,0,0,0.0588235
217,0.0294118,0.0294118,0.5,0.294118,0.0294118,0.0294118,0.0588235,0,0,0,0,0,0.0294118
218,0.0833333,0,0.25,0.416667,0,0,0.166667,0,0,0,0,0.0833333,0
219,0.285714,0.142857,0.142857,0.285714,0,0,0,0,0,0,0,0,0.142857
220,0.1,0.05,0.45,0.3,0.05,0,0,0,0,0,0,0,0.05
221,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0
222,0,0.0588235,0.411765,0.470588,0,0,0,0,0,0,0,0.0588235,0
223,0,0,0.6,0.2,0,0,0,0,0,0,0,0.2,0
224,0.0833333,0.0833333,0.541667,0.166667,0,0,0,0,0,0,0,0,0.125
